Code,Milestone,Title,Size,Depends On,Description,Acceptance Criteria
M3-05,M3,Puzzle/Occurrence writer + collision policy,M,"M3-04, M1-03","get_or_create Puzzle by position_key; solutions freeze at first analysis, deeper movetime may overwrite engine facts, PUNISH wins puzzle_type ties (logged); update_or_create Occurrence on (game, ply); quality score computed and recomputed on new occurrences; opening-leak flag set via the promotion query.","Tests: same position from two games → one Puzzle, two Occurrences; deeper re-analysis overwrites, shallower doesn't; AVOID/PUNISH collision keeps PUNISH; quality score changes when an occurrence is added."
M3-06,M3,Static exchange evaluation (SEE),L,M1-01,"Careful SEE implementation (python-chess has no one-liner): iterative capture resolution on a square with least-valuable-attacker ordering, x-rays, and promotion awareness. Pure function, no DB.","Tested against a committed table of known exchange sequences (from published SEE test suites) including x-ray and pinned-attacker cases; all programmatically verified, no invented positions."
M3-07,M3,Tier-1 detectors A: hanging piece + counting error,M,M3-06,"SEE-based detectors: a piece en prise with negative exchange (hanging), and a capture sequence the user entered that comes out negative (counting error → direction MISCOUNTED).","Fixture FENs with engine-verified answers, committed; both detectors return tag + direction; no Stockfish calls in unit tests."
M3-08,M3,"Tier-1 detectors B: fork, pin, skewer, discovered attack",L,M1-05,"Ray-logic detectors over the position + solution move. Pure functions taking (board, solution) → set of mechanism tags.","Fixture FENs per motif, both as the tactic-exists and tactic-absent case; detectors are pure and independently testable."
M3-09,M3,"Tier-1 detectors C: back-rank, trapped piece, mate threat, promotion/passed pawn + direction classifier",L,M1-05,"Remaining rule detectors plus the MISSED/ALLOWED/MISCOUNTED direction classification (exactly one per puzzle, derived from puzzle type and detector output).","Fixture FENs per motif; direction classifier table-driven tests cover all three outcomes."
M3-10,M3,analyze command,L,"M3-05, M3-07, M3-08, M3-09","The DB-as-queue command: query PENDING games, one transaction per game (engine pass → candidates → gates → puzzles/occurrences → detectors → ANALYZED with version fields). FAILED + three-strikes, --retry-failed, --reanalyze [--before-pipeline-version], --movetime. PipelineRun row with counts.","Crash mid-run (simulated) leaves N fully-analyzed games and the rest PENDING; re-run resumes and is idempotent; --reanalyze resets and reprocesses under the collision policy; yield on a real sample is order-of-magnitude ~1–3 puzzles/game."
M4-01,M4,calibrate command,M,M3-10,"--sample=50: dump random surviving puzzles to a static HTML page — board diagram (python-chess SVG), prompt, solution + PV, gate evidence, quality score, game context — for eyeballing.","Page renders 50 puzzles standalone (no server needed); each shows enough evidence to judge fair/unfair at a glance."
M4-02,M4,Backfill + calibration session,M,M4-01,"Run ingest + analyze over full history (niced, overnight, --movetime recorded). Review the calibration page: unfair → raise findability bar; pointless → raise gate 1. Re-filter via Candidates, iterate. Record every constant change + observation in Design.md §10. This is the checkpoint — M5/M6 do not start until puzzles feel fair.","Full history ANALYZED; at least one review iteration documented in §10; explicit go/no-go note recorded; CLAUDE.md checkboxes 1–4 ticked."
M5-01,M5,sm2_update pure function,M,M1-01,"SM-2 in its own module: (state, correct, latency_ms, hints_used) → new state. Fail → lapse (repetitions reset, interval ≈ 1 day, ease −0.2, floor 1.3); success grades by latency/hints (clean <30s → 5, slow/hinted → 3–4). Touches nothing.","Exhaustive unit tests: every grade path, lapse behaviour, ease floor, interval growth over simulated multi-review sequences; zero imports from Django."
M5-02,M5,Static assets + base templates + auth,M,M1-01,"Vendor chessground + chess.js (no npm build), base layout template, login middleware with single superuser — the whole app behind a lock.","Assets served by Django staticfiles; an unauthenticated request to any page redirects to login; board renders in a scratch template."
M5-03,M5,GET /train/next,M,"M1-06, M4-02","Serving query: overdue by (due_at, -quality_score); buried excluded; when clear, introduce new puzzles by quality capped at NEW_PUZZLES_PER_DAY; soft-mix PUNISH/AVOID. Response includes orientation and the context block (date, opponent, clock, occurrence count).","Unit tests on the queryset: ordering, bury exclusion, daily-cap counting via today's first-attempts, empty-queue response; context block fields all present."
M5-04,M5,POST /train/attempt,L,"M5-01, M5-03","Stateless validation: replay the submitted full move list from the puzzle FEN via python-chess; first move against the solution set, later moves against that solution's PV; near-misses logged per-move; opponent replies returned from the PV; grade derived (latency + hints) and sm2_update applied; Attempt row written with the whole line.","Tests: correct line (both solutions if two), wrong first move, PV deviation mid-line logged as near-miss, cashout cap respected, illegal move list rejected; SM-2 state visibly updates; client-side legality remains UX-only."
M5-05,M5,Train widget UI,L,"M5-02, M5-04","~150 lines of vanilla JS: board wiring, move submission, server-driven opponent replies, two-stage hints (piece then motif), completion flow, and the fail screen — full line replay, explanation, motif tags, link to the real game. The fail screen is the product.","Full solve and full fail both work end-to-end in a browser; hints visibly price into the grade; fail screen shows all four elements; UK English copy."
M5-06,M5,bury + report endpoints,S,M5-05,"POST bury (30 days, touches buried_until only — never SM-2 state or stats) and POST report (Report row, the ongoing calibration signal), with minimal UI hooks on the train page.","Buried puzzle vanishes from /train/next until expiry with SM-2 fields unchanged; report creates a row visible in admin."
M6-01,M6,snapshot command,M,M3-10,"Nightly delete-and-recompute of WeaknessSnapshot per motif: trailing-window occurrence counts from games (via Candidates/Occurrences) and attempt/correct counts from training. PipelineRun row.","Running twice for the same date yields identical rows (idempotent); rejected-candidate mistakes count on the games side; window boundaries tested."
M6-02,M6,/dashboard page,L,"M6-01, M5-04","Due count, streak, trend charts (Chart.js over small JSON endpoints), and the motif table showing the games-vs-training gap — still blundering it in games vs solving it when drilled.","Page renders from real data; gap column shows both rates side by side; JSON endpoints return only aggregates (no request-path recomputation of history)."
M6-03,M6,/openings + /puzzles pages,M,M3-10,"Opening-leak table (recurring misplayed positions with ECO/opening, recurrence count, wp cost) and the filterable puzzle archive (motif, phase, type, clock bucket).","Leak table ordered by recurrence × cost; archive filters combine; both server-rendered templates."
M6-04,M6,/games health page,S,M2-03,"Ingest/analysis status per game plus PipelineRun history — the pipeline-health page from §7.","Shows per-stage last run, status, counts, and error text; FAILED games listed with their errors."
M7-01,M7,LLM client + batch prompt + schema validation,M,M3-10,"Batched (10–15 puzzles/call) Tier-2 tagging via Claude headless (claude -p with OAuth token) or API: strict JSON schema for proposed tags + one-sentence explanation; invalid responses rejected whole. Never in the request path.","Schema validation rejects malformed output in tests (recorded fixtures, no live LLM in unit tests); batch assembly includes position, played move, solution, and game context."
M7-02,M7,Tag verification layer,M,M7-01,"Proposed tags with deterministic checkers verified against the board via the Tier-1 detectors; contradictions dropped, not stored; PuzzleMotif rows written with source=llm, confidence, rule_verified; tag_attempts three-strikes skip.","Tests: verifiable-and-correct tag stored, verifiable-and-wrong tag dropped, uncheckable tag stored with rule_verified NULL; a poison puzzle is skipped after TAG_MAX_ATTEMPTS and surfaced in counts."
M7-03,M7,tag command + run_pipeline wrapper,M,M7-02,"Management command over tagged_at IS NULL queue; tagged_at set only on joint success of tags + explanation; PipelineRun row. Plus the run_pipeline wrapper chaining ingest → analyze → tag.","Failed batch self-requeues (tagged_at stays NULL); success sets tagged_at once; disabling tag leaves the app fully functional; run_pipeline runs all three stages with three PipelineRun rows."
M8-01,M8,Lightsail deployment,M,M5-06,"Deploy alongside the existing RAG service: Postgres, app server, env/secrets (no secrets in repo), STOCKFISH_PATH, migrations, static files.","App reachable over HTTPS behind login; migrations applied against Postgres; deployment steps documented in the repo."
M8-02,M8,cron + ops wiring,S,"M8-01, M7-03","The two crontab lines from §7: separate flock files, nice/ionice on the pipeline job, per-job healthchecks.io pings. Production backfill if not already run in M4.","Both jobs fire on schedule; overlapping-run test (long fake job) shows the lock skipping without starving the other job; healthchecks green; silence pages."
